,variable,label,unique_values,variable_type
182,m1c5b,If BF can't afford to provide fin. supp. should he have right to make decisions?,6.0,categorical
183,m1c6,"If BM has a new partner,should BF be required to provide fin. supp.?",5.0,categorical
184,m1c7,"If BF has new baby w/another, should he be required to support other children?",5.0,categorical
185,m1d1a,The main advantage of marriage is financial security?,8.0,categorical
186,m1d1b,There are more advantages to being single than to being married?,8.0,categorical
187,m1d1c,A single mother can bring up a child as well as a married couple?,8.0,categorical
188,m1d1d,It is better for a couple to get married than just live together?,8.0,categorical
189,m1d1e,It is better for children if their parents are married?,8.0,categorical
190,m1d1f,Living together is just the same as being married?,8.0,categorical
191,m1d2a,"How imp for successful marriage, have same friends?",7.0,categorical
192,m1d2b,"How imp for successful marriage, husband has steady job?",7.0,categorical
193,m1d2c,"How imp for successful marriage, wife has steady job?",7.0,categorical
194,m1d2d,"How imp for successful marriage, both same race/ethnicity?",7.0,categorical
195,m1d2e,"How imp for successful marriage, have good sex?",7.0,categorical
196,m1d2f,"How imp for successful marriage, share same religion?",7.0,categorical
197,m1d2g,"How imp for successful marriage, both emotionally mature?",7.0,categorical
198,m1d3a,"The important decisions in the family should be done by the man, Ag/Dis?",7.0,categorical
199,m1d3b,"Parents should stay togthr for the children even if they don't get along,Ag/Dis?",7.0,categorical
200,m1d3c,"It is better if husb. earns the main living and woman cares for family, Ag/Dis?",7.0,categorical
201,m1d3d,"In dating, a man is largely out to take advantage of a woman, Ag/Dis?",8.0,categorical
202,m1d3e,"Men cannot be trusted to be faithful, Ag/Dis?",8.0,categorical
203,m1d3f,"More important for man to spend time with his family than to work a lot, Ag/Dis?",7.0,categorical
204,m1d3g,"Fathers play more imp role in raising boys than girls, Ag/Dis?",7.0,categorical
205,m1e1b1,People who currently live in your HH - 1st relationship?,13.0,categorical
206,m1e1b2,People who currently live in your HH - 2nd relationship?,10.0,categorical
207,m1e1b3,People who currently live in your HH - 3rd relationship?,10.0,categorical
208,m1e1b4,People who currently live in your HH - 4th relationship?,10.0,categorical
209,m1e1b5,People who currently live in your HH - 5th relationship?,10.0,categorical
210,m1e1b6,People who currently live in your HH - 6th relationship?,10.0,categorical
211,m1e1b7,People who currently live in your HH - 7th relationship?,8.0,categorical
212,m1e1b8,People who currently live in your HH - 8th relationship?,7.0,categorical
213,m1e1c1,People who currently live in your HH - 1st gender?,6.0,categorical
214,m1e1c2,People who currently live in your HH - 2nd gender?,5.0,categorical
215,m1e1c3,People who currently live in your HH - 3rd gender?,5.0,categorical
216,m1e1c4,People who currently live in your HH - 4th gender?,5.0,categorical
217,m1e1c5,People who currently live in your HH - 5th gender?,5.0,categorical
218,m1e1c6,People who currently live in your HH - 6th gender?,5.0,categorical
219,m1e1c7,People who currently live in your HH - 7th gender?,5.0,categorical
220,m1e1c8,People who currently live in your HH - 8th gender?,5.0,categorical
221,m1e1d1,People who currently live in your HH - 1st age?,96.0,continuous
222,m1e1d2,People who currently live in your HH - 2nd age?,78.0,continuous
223,m1e1d3,People who currently live in your HH - 3rd age?,61.0,continuous
224,m1e1d4,People who currently live in your HH - 4th age?,45.0,continuous
225,m1e1d5,People who currently live in your HH - 5th age?,37.0,continuous
226,m1e1d6,People who currently live in your HH - 6th age?,33.0,continuous
227,m1e1d7,People who currently live in your HH - 7th age?,24.0,continuous
228,m1e1d8,People who currently live in your HH - 8th age?,20.0,unknown
229,m1e1e1,People who currently live in your HH - 1st employment?,7.0,categorical
230,m1e1e2,People who currently live in your HH - 2nd employment?,6.0,categorical
231,m1e1e3,People who currently live in your HH - 3rd employment?,5.0,categorical
232,m1e1e4,People who currently live in your HH - 4th employment?,6.0,categorical
233,m1e1e5,People who currently live in your HH - 5th employment?,5.0,categorical
234,m1e1e6,People who currently live in your HH - 6th employment?,5.0,categorical
235,m1e1e7,People who currently live in your HH - 7th employment?,5.0,categorical
236,m1e1e8,People who currently live in your HH - 8th employment?,5.0,categorical
237,m1e2,Were you living with both of your bio parents at age 15?,6.0,categorical
238,m1e3a,"During your preg, did you receive fin. supp. from anyone besides BF?",5.0,categorical
239,m1e3b1,"Who gave you fin. supp. during preg, your mother?",5.0,categorical
240,m1e3b2,"Who gave you fin. supp. during preg, your father?",5.0,categorical
241,m1e3b3,"Who gave you fin. supp. during preg, other relatives.?",5.0,categorical
242,m1e3b4,"Who gave you fin. supp. during preg, (BF) family?",5.0,categorical
243,m1e3b5,"Who gave you fin. supp. during preg, other?",8.0,categorical
244,m1e3c,"During preg, did you receive a place to live?",4.0,categorical
245,m1e3d1,"Who gave you a place to live, your mother?",6.0,categorical
246,m1e3d2,"Who gave you a place to live, your father?",6.0,categorical
247,m1e3d3,"Who gave you a place to live, other relatives?",6.0,categorical
248,m1e3d4,"Who gave you a place to live, (BF) family?",6.0,categorical
249,m1e3d5,"Who gave you a place to live, other?",8.0,categorical
250,m1e3e,"During preg, did you receive child care?",5.0,categorical
251,m1e3f1,"Who gave you child care, your mother?",6.0,categorical
252,m1e3f2,"Who gave you child care, your father?",6.0,categorical
253,m1e3f3,"Who gave you child care, other relatives?",6.0,categorical
254,m1e3f4,"Who gave you child care, (BF) family?",6.0,categorical
255,m1e3f5,"Who gave you child care, other?",8.0,categorical
256,m1e4a,"Next yr, would someone in family loan you $200?",5.0,categorical
257,m1e4b,"Next yr, would someone in family give place to live?",5.0,categorical
258,m1e4c,"Next yr, would someone help you with babysitting/child care?",5.0,categorical
259,cm1adult,Constructed - # of adults 18 or older in the HH,11.0,continuous
260,cm1kids,Constructed - # of children under 18 in HH,11.0,continuous
261,cm1gdad,Constructed - Baby's grandfather in the HH,4.0,categorical
262,cm1gmom,Constructed - Baby's grandmother in the HH,4.0,categorical
263,m1f1a,How long have you lived in neighborhood - Years?,42.0,continuous
264,m1f1b,How long have you lived in neighborhood - months?,17.0,continuous
265,m1f1c,How long have you lived in neighborhood - all my life?,4.0,categorical
266,m1f2,Is the home/apartment were you currently reside owned/rented?,6.0,categorical
267,m1f3,Do you live in a public housing project?,5.0,categorical
268,m1f4,Is the fed/state/local government helping to pay for your rent?,6.0,categorical
269,m1f5,How safe are the streets around your home at night?,7.0,categorical
270,m1f6,About how often do you attend religious services?,8.0,categorical
271,m1f7,What is your religious preference?,21.0,unknown
272,m1f8,Can mother receive welfare if she is married and living with husband?,5.0,categorical
273,m1f9,Can mother receive welfare if she is not married and lives with BF?,5.0,categorical
274,m1f10a,How long in total can a mother receive welfare (years)?,23.0,continuous
275,m1f10b,How long in total can a mother receive welfare (months)?,18.0,continuous
276,m1f11a,How long can a mother receive welfare before being required to work?-years,16.0,continuous
277,m1f11b,How long can a mother receive welfare before being required to work?-months,19.0,continuous
278,m1f12,"Can judge make a father pay child support, even if he wanted an abortion?",5.0,categorical
279,m1f13,Can blood test prove whether a man is really the father of the child?,5.0,categorical
280,m1f14,Has anyone in the hospital given you information about est. paternity?,5.0,categorical
281,m1f15,"If BF doesn't want to marry the mother, could he be required to pay child supp.?",8.0,categorical
282,m1g1,How is your health?,7.0,categorical
283,m1g2,"During the preg, how often did you drink alcohol?",8.0,categorical
284,m1g3,"During the preg, how often did you use drugs?",1.0,categorical
285,m1g4,"During the preg, how many cigarettes did you smoke?",7.0,categorical
286,m1g5,In past yr has alc/drugs interfered with your work/relationships?,4.0,categorical
287,m1g6,Have you ever sought help or been treated for drug/alc problems?,4.0,categorical
288,m1h2,Were you born in the U.S.?,4.0,categorical
289,m1h2b,Geographical region of mother's birth place,9.0,categorical
290,m1h2c,In what year did you first come to the US to live?,28.0,categorical
291,m1h3,What is your race?,9.0,unknown
292,m1h3a,Are you of Hispanic or Latino origin or descent?,5.0,categorical
293,m1h3b,"Are you Mexican, Puerto Rican, Cuban or other Hispanic?",11.0,categorical
294,cm1edu,Mother baseline education (own report),6.0,categorical
295,cm1ethrace,Mother race (baseline own report),6.0,categorical
296,m1i1,What is the highest grade/years of school that you have completed?,11.0,categorical
297,m1i2a,"When you last worked, how many hours per week did you work?",73.0,continuous
298,m1i2b,About how much did you earn?,2236.0,continuous
299,m1i2c,Was that amount per hour/day/week/month/year/other?,12.0,categorical
300,m1i2d,Do you expect to work during next year?,6.0,categorical
301,m1i2d1,Int Chk: Is father unknown?,5.0,categorical
302,m1i2i,In what mo did you last work 2 weeks or more at a regular job?,1.0,continuous
303,m1i2ii,In what yr did you last work 2 weeks or more at a regular job?,28.0,continuous
304,m1i2iii,Never worked 2 consecutive weeks?,5.0,categorical
305,m1i3,What is the highest grade/years of school that BF have completed?,14.0,categorical
306,m1i4,What is BF's race?,10.0,categorical
307,m1i4a,Is BF of Hispanic/Latino origin or descent?,7.0,categorical
308,m1i4b,"Is BF Mexican, Puerto Rican, Cuban or other Hispanic?",11.0,categorical
309,m1i6,"What was BF doing most of last week (working, going to school,else)?",12.0,categorical
310,m1i6a1,In what mo did BF last work 2 weeks or more at a regular job?,1.0,categorical
311,m1i6a2,In what yr did BF last work 2 weeks or more at a regular job?,15.0,continuous
312,m1i6a3,BF never workd 2 consecutive weeks?,3.0,categorical
313,m1i7,Does BF engage in any activities other than regular job to generate income?,7.0,categorical
314,m1i8,Does BF have physical/health condition that limits amount of work he can do?,7.0,categorical
315,m1i9,Does BF have a problem keeping a job/friends because of drugs/alc use?,7.0,categorical
316,m1i10,Int chk: Is BF married or living with baby's mother?,7.0,categorical
317,m1i11,Where does BF live most of the time?,11.0,unknown
318,m1j1a,In last yr did you have income from earnings?,6.0,categorical
319,m1j1b,In last yr did you have income from public assistance/welfare/food stamps?,6.0,categorical
320,m1j1c,In last yr did you have income from Unem.ins/wkmn comp/disability/SS?,6.0,categorical
321,m1j1d,In last yr did you have income from from family/friends?,6.0,categorical
322,m1j1e,In last yr did you have no income?,6.0,categorical
323,m1j2a,"In last 12 mo, about how much money did you receive from earnings?",2686.0,categorical
324,m1j2b,"In 12 mo, about how much money did you receive from pub. assis/welfare?",1341.0,categorical
325,m1j2c,"In last 12 mo, about how much money did you receive from unemployment/SS/disabil",372.0,categorical
326,m1j2d,"In last 12 mo, about how much money did you receive from family/friends?",1151.0,categorical
327,mx1j2,"In the last 12 months, about how much money did you receive from (J1)?",2.0,categorical
328,m1j3,What was your total household income before taxes in the past 12 months,13.0,categorical
329,m1j4,At the end of the month how much money leftover do you usually have?,8.0,categorical
330,m1j5,Do you own a car?,5.0,categorical
331,cm1hhinc,Constructed - Household income (with imputed values),3922.0,continuous
332,cm1hhimp,Constructed - Flag variable for household income imputation,5.0,categorical
333,cm1inpov,Constructed - Poverty ratio - mother's household income/poverty threshold,3947.0,continuous
334,cm1povca,Constructed - Poverty categories,6.0,categorical
335,cm1finjail,"Constructed - mother report, father in jail at her baseline interview",3.0,unknown
336,cmf1finjail,"Constructed - mother and father reports, father in jail at either baseline inter",3.0,unknown
337,cm1span,Constructed- Was the mother interviewed in spanish?,4.0,categorical
338,m1natwt_rep1,Mother baseline national replicate weight no. 1,0.0,unknown
339,m1natwt_rep2,Mother baseline national replicate weight no. 2,0.0,unknown
340,m1natwt_rep3,Mother baseline national replicate weight no. 3,0.0,unknown
341,m1natwt_rep4,Mother baseline national replicate weight no. 4,0.0,unknown
342,m1natwt_rep5,Mother baseline national replicate weight no. 5,0.0,unknown
343,m1natwt_rep6,Mother baseline national replicate weight no. 6,0.0,unknown
344,m1natwt_rep7,Mother baseline national replicate weight no. 7,0.0,unknown
345,m1natwt_rep8,Mother baseline national replicate weight no. 8,0.0,unknown
346,m1natwt_rep9,Mother baseline national replicate weight no. 9,0.0,unknown
347,m1natwt_rep10,Mother baseline national replicate weight no. 10,0.0,unknown
348,m1natwt_rep11,Mother baseline national replicate weight no. 11,0.0,unknown
349,m1natwt_rep12,Mother baseline national replicate weight no. 12,0.0,unknown
350,m1natwt_rep13,Mother baseline national replicate weight no. 13,0.0,unknown
351,m1natwt_rep14,Mother baseline national replicate weight no. 14,0.0,unknown
352,m1natwt_rep15,Mother baseline national replicate weight no. 15,0.0,unknown
353,m1natwt_rep16,Mother baseline national replicate weight no. 16,0.0,unknown
354,m1natwt_rep17,Mother baseline national replicate weight no. 17,0.0,unknown
355,m1natwt_rep18,Mother baseline national replicate weight no. 18,0.0,unknown
356,m1natwt_rep19,Mother baseline national replicate weight no. 19,0.0,unknown
357,m1natwt_rep20,Mother baseline national replicate weight no. 20,0.0,unknown
358,m1natwt_rep21,Mother baseline national replicate weight no. 21,0.0,unknown
359,m1natwt_rep22,Mother baseline national replicate weight no. 22,0.0,unknown
360,m1natwt_rep23,Mother baseline national replicate weight no. 23,0.0,unknown
361,m1natwt_rep24,Mother baseline national replicate weight no. 24,0.0,unknown
362,m1natwt_rep25,Mother baseline national replicate weight no. 25,0.0,unknown
363,m1natwt_rep26,Mother baseline national replicate weight no. 26,0.0,unknown
364,m1natwt_rep27,Mother baseline national replicate weight no. 27,0.0,unknown
365,m1natwt_rep28,Mother baseline national replicate weight no. 28,0.0,unknown
366,m1natwt_rep29,Mother baseline national replicate weight no. 29,0.0,unknown
367,m1natwt_rep30,Mother baseline national replicate weight no. 30,0.0,unknown
368,m1natwt_rep31,Mother baseline national replicate weight no. 31,0.0,unknown
369,m1natwt_rep32,Mother baseline national replicate weight no. 32,0.0,unknown
370,m1natwt_rep33,Mother baseline national replicate weight no. 33,0.0,unknown
371,m1natwtx_rep1,Mother baseline national replicate weight no. 1 (excluding one city),0.0,unknown
372,m1natwtx_rep2,Mother baseline national replicate weight no. 2 (excluding one city),0.0,unknown
373,m1natwtx_rep3,Mother baseline national replicate weight no. 3 (excluding one city),0.0,unknown
374,m1natwtx_rep4,Mother baseline national replicate weight no. 4 (excluding one city),0.0,unknown
375,m1natwtx_rep5,Mother baseline national replicate weight no. 5 (excluding one city),0.0,unknown
376,m1natwtx_rep6,Mother baseline national replicate weight no. 6 (excluding one city),0.0,unknown
377,m1natwtx_rep7,Mother baseline national replicate weight no. 7 (excluding one city),0.0,unknown
378,m1natwtx_rep8,Mother baseline national replicate weight no. 8 (excluding one city),0.0,unknown
379,m1natwtx_rep9,Mother baseline national replicate weight no. 9 (excluding one city),0.0,unknown
380,m1natwtx_rep10,Mother baseline national replicate weight no. 10 (excluding one city),0.0,unknown
381,m1natwtx_rep11,Mother baseline national replicate weight no. 11 (excluding one city),0.0,unknown
382,m1natwtx_rep12,Mother baseline national replicate weight no. 12 (excluding one city),0.0,unknown
383,m1natwtx_rep13,Mother baseline national replicate weight no. 13 (excluding one city),0.0,unknown
384,m1natwtx_rep14,Mother baseline national replicate weight no. 14 (excluding one city),0.0,unknown
385,m1natwtx_rep15,Mother baseline national replicate weight no. 15 (excluding one city),0.0,unknown
386,m1natwtx_rep16,Mother baseline national replicate weight no. 16 (excluding one city),0.0,unknown
387,m1natwtx_rep17,Mother baseline national replicate weight no. 17 (excluding one city),0.0,unknown
388,m1natwtx_rep18,Mother baseline national replicate weight no. 18 (excluding one city),0.0,unknown
389,m1natwtx_rep19,Mother baseline national replicate weight no. 19 (excluding one city),0.0,unknown
